stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
137,,Misto Mame,"Në Rrugën e ?Konferenca e Pezës?, pranë ?Misto Mames?",41.3190997511599,19.7815053807546,,,0,,,0,,
138,,Karburanti,"eshte ne Rrugen Nacionale ""Tirane-Durres"", tek karburanti i pas pikes Cekrezi",41.3032621721852,19.7453971433384,,,0,,,0,,
139,,Kthesa Sharrë,Në afërsi të kryqëzimit të Rrugës  ?Llazi Miho? me Rrugën ?Lekë Zaharia?,41.3066808516,19.7572302005,,,0,,,0,,
140,,Prush,te kthesa e Prushit,41.3056872608,19.7544990736,,,0,,,0,,
141,,Prush,te kthesa e Prushit,41.3056021955,19.7546106798,,,0,,,0,,
142,,Fabrika Tullave,prane fabrikes se Tullave,41.3049007885,19.7507163639,,,0,,,0,,
143,,Fabrika Tullave,prane fabrikes se Tullave,41.3048123462,19.7507799982,,,0,,,0,,
144,,Rruga Besa,"është në rrugën ?Siri Kodra?, pas Kryqëzimit me Rrugën ?Besa?",41.3425146477,19.8162519062,,,0,,,0,,
145,,Rruga Besa,"është në rrugën ?Siri Kodra?, pas Kryqëzimit me Rrugën ?Besa?",41.3424914479,19.8161280463,,,0,,,0,,
146,,Rruga Sejdini,"Tek Rruga ?Reshit Petrela?, afër Institucionit të Ekzekutimit të Vendimeve Penale ?Jordan Misja?313.",41.3457091082879,19.8078262619331,,,0,,,0,,
147,,Filip Jano,"Tek Rruga ?Filip Jano""",41.3449944095,19.8087466429,,,0,,,0,,
148,,Filip Jano,"Tek Rruga ?Filip Jano""",41.3447677611,19.8087437056,,,0,,,0,,
149,,Nënstacioni Elektrik,"Në Rrugën ?Siri Kodra?, pranë ?N/stacionit elektrik?.",41.3457381595606,19.8145693739495,,,0,,,0,,
150,,Nënstacioni Elektrik,"Në Rrugën ?Siri Kodra?, pranë ?N/stacionit elektrik?.",41.3458892555469,19.8143420489041,,,0,,,0,,
151,,Frigoriferi,"Në Rrugën ?Siri Kodra?, pranë Magazinave.",41.340610342,19.8173991704,,,0,,,0,,
152,,Frigoriferi,"Në Rrugën ?Siri Kodra?, pranë Magazinave.",41.3407731044,19.8174224934,,,0,,,0,,
153,,Parku Rinia,"blv. ""Deshmoret e Kombit"" (ne segmentin e kufizuar nga ""Myslym Shyri"" dhe blv.""Gjergj Fishta"" sipas sensit veri-jug / Perballe Hotel Dajtit",41.3250379827,19.8191839827,,,0,,,0,,
154,,Piramida,"Blv. ?Dëshmorët e Kombit?, tek Piramida.",41.3230391652,19.8197514292,,,0,,,0,,
155,,Rektorati,"Në sheshin ?Nënë Tereza?, tek Rektorati",41.3176466148549,19.8218935038541,,,0,,,0,,
156,,Libri Universitar,"në rrugën ""Abdyl Frashëri"", përballë Librit Universitar",41.3191848123,19.8182730226,,,0,,,0,,
157,,Harry Fultz,"rruga ""Asim Vokshi"", tek shkolla ""Harry Fultz""",41.335142664056,19.8108218172547,,,0,,,0,,
158,,Don Bosko,"rruga  ""Asim Vokshi"", përpara kryqëzimit me rrugën ""Don Bosko""",41.3346217798,19.807838158,,,0,,,0,,
159,,Stadiumi Dinamo,Pas kryqëzimit të Rrugës ?Sulejman Delvina? me Rrugën ?Komuna e Parisit,41.3188856632,19.8085634018,,,0,,,0,,
160,,Vasil Shanto,"Përpara kryqëzimit të ""Rruga Sulejman Delvina"" me Blv. ""Bajram Curri""",41.3217052707,19.804617177,,,0,,,0,,
161,,Selitë,"Pas kryqëzimit të Blv. ""Gjergj Fishta"" me ""Rruga Muhedin Llagami""",41.320744936,19.7985920056,,,0,,,0,,
162,,Pallati me Shigjeta,"Përpara kryqëzimit të Blv. ""Gjergj Fishta"" me ""Rruga e Kavajës""",41.3218618481,19.7927948495,,,0,,,0,,
163,,Teodor Keko,"Në kryqëzimin e ""Rruga Kavajës"" me ""Rruga Teodor Keko"".",41.3240371519435,19.7887541676656,,,0,,,0,,
164,,Nexho Konomi,Pas kryqëzimit të Rrugës ?Teodor Keko? me Rrugën ?Pjetër Zarishi?.,41.3302507100504,19.7851315151649,,,0,,,0,,
165,,Kristaq Mone,Pas kryqëzimit të Rrugës ?Teodor Keko? me Rrugën ?Kristaq Mone?.,41.3325935420791,19.7838362778613,,,0,,,0,,
166,,Lumi Lanë,"Në Rrugën ?Teodor Keko?, përpara Urës së Lumit ?Lanë?.",41.3350244485642,19.7833568884014,,,0,,,0,,
167,,Sheshi Shqiponja,"Në Rrugën ""Teodor Keko"", përpara ""Sheshit Shqiponja""",41.3378859935636,19.7855570681362,,,0,,,0,,
168,,Blloku Gintash,"Në ""Rruga Dritan Hoxha"", përballë Bllokut ""Gintash"".",41.3379514078,19.7899172404,,,0,,,0,,
169,,Pallatet Arabe,"Në kryqëzimin e Rrugës ?Dritan Hoxha? me Rrugën ?Lord Bajron?, përballë shkollës 9-vjeçare ?Ahmet Gashi?.",41.3370807149568,19.7922213255625,,,0,,,0,,
170,,Ana Komena,"Në kryqëzimin e Rrugës ?Dritan Hoxha? me Rrugën ?Pandi Dardha?, tek  Drejtoria e Përgjithshme e Doganave Tiranë.",41.3354582905607,19.7969312418287,,,0,,,0,,
171,,Asllan Rusi,"Në Rrugën ?Dritan Hoxha?, përballë Pallatit të Sportit ?Asllan Rusi?",41.3341304293491,19.8009165577153,,,0,,,0,,
172,,Kryqëzimi Kashar,"Pas kryqëzimit të ""Rruga Teodor Keko"" me ""Rruga Aleksandri i Madh""",41.3303989613394,19.7845127247652,,,0,,,0,,
173,,Teodor Keko,"Në Kryqëzimin e ""Rruga Teodor Keko"" me ""Rruga e Kavajës""",41.3227707192,19.7887020018,,,0,,,0,,
174,,Pallati me Shigjeta,"Në Blv. ""Bajram Curri"", pas kryqëzimit me ""Rruga Nikollë Kaçorri""",41.3209027914,19.7935243787,,,0,,,0,,
175,,Selitë,"Në Blv. ""Bajram Curri"", pas kryqëzimit me ""Rruga Isuf Elezi""",41.3203789586,19.7998143326,,,0,,,0,,
